UT,PY,DOI
WOS:000485943600003,2019.0,10.1007/s11192-019-03200-1
WOS:000481434200001,2019.0,10.1007/s11192-019-03165-1
WOS:000477044700002,2019.0,10.1007/s11192-019-03130-y
WOS:000464901100027,2019.0,10.1007/s11192-019-03079-y
WOS:000464901100022,2019.0,10.1007/s11192-019-03058-3
WOS:000451754300032,2018.0,10.1007/s11192-018-2869-5
WOS:000442737700019,2018.0,10.1007/s11192-018-2866-8
WOS:000438126800028,2018.0,10.1007/s11192-018-2738-2
WOS:000426807700024,2018.0,10.1007/s11192-017-2636-z
WOS:000424685100013,2018.0,10.1007/s11192-017-2623-4
WOS:000406497200032,2017.0,10.1007/s11192-017-2417-8
WOS:000403466900026,2017.0,10.1007/s11192-017-2359-1
WOS:000398770700018,2017.0,10.1007/s11192-017-2253-x
WOS:000393748300028,2017.0,10.1007/s11192-016-2108-x
WOS:000382914200023,2016.0,10.1007/s11192-016-2039-6
WOS:000378777500015,2016.0,10.1007/s11192-016-1946-x
WOS:000373187000011,2016.0,10.1007/s11192-016-1842-4
WOS:000373187000010,2016.0,10.1007/s11192-016-1879-4
WOS:000374705700015,2016.0,10.1007/s11192-015-1820-2
WOS:000365130100025,2015.0,10.1007/s11192-015-1596-4
WOS:000347297400039,2015.0,10.1007/s11192-014-1392-6
WOS:000345136000001,2014.0,10.1007/s11192-014-1302-y
WOS:000342228300010,2014.0,10.1007/s11192-014-1356-x
WOS:000331559800017,2014.0,10.1007/s11192-013-1113-6
WOS:000330622600033,2014.0,10.1007/s11192-013-1143-0
WOS:000329319200030,2014.0,10.1007/s11192-013-1021-9
WOS:000323437400017,2013.0,10.1007/s11192-013-0957-0
WOS:000320401500001,2013.0,10.1007/s11192-012-0862-y
WOS:000314753500021,2013.0,10.1007/s11192-012-0789-3
WOS:000313711500008,2013.0,10.1007/s11192-012-0784-8
WOS:000209063000001,2012.0,10.1007/s11192-012-0795-5
WOS:000270979000019,2009.0,10.1007/s11192-008-2226-1
WOS:000267368100004,2009.0,10.1007/s11192-007-2026-z
WOS:000266914500013,2009.0,10.1007/s11192-007-1984-5
WOS:000240477700008,2006.0,10.1007/s11192-006-0156-3
WOS:000227877600005,2005.0,10.1007/s11192-005-0027-3
WOS:000729643600001,2022.0,10.1007/s11192-021-04210-8
WOS:000710334600004,2021.0,10.1007/s11192-021-04172-x
WOS:000653118600007,2021.0,10.1007/s11192-021-04017-7
WOS:000653118600005,2021.0,10.1007/s11192-021-03987-y
WOS:000547804200012,2020.0,10.1007/s11192-020-03557-8
WOS:000544845300005,2020.0,10.1007/s11192-020-03578-3
WOS:000543290600005,2020.0,10.1007/s11192-020-03574-7
WOS:000527509900005,2020.0,10.1007/s11192-020-03467-9
WOS:000520818400001,2020.0,10.1007/s11192-020-03413-9
WOS:000491201000015,2019.0,10.1007/s11192-019-03225-6
WOS:000491201000022,2019.0,10.1007/s11192-019-03193-x
WOS:000491201000003,2019.0,10.1007/s11192-019-03223-8
WOS:000490369400004,2019.0,10.1007/s11192-019-03265-y
WOS:000485943600011,2019.0,10.1007/s11192-019-03196-8
WOS:000469058000003,2019.0,10.1007/s11192-019-03101-3
WOS:000469058000018,2019.0,10.1007/s11192-019-03098-9
WOS:000456290600004,2019.0,10.1007/s11192-018-2963-8
WOS:000440597800013,2018.0,10.1007/s11192-018-2783-x
WOS:000425306300025,2018.0,10.1007/s11192-017-2615-4
WOS:000415715100024,2017.0,10.1007/s11192-017-2557-x
WOS:000406497200016,2017.0,10.1007/s11192-017-2447-2
WOS:000403466900008,2017.0,10.1007/s11192-017-2386-y
WOS:000401747900009,2017.0,10.1007/s11192-017-2351-9
WOS:000399871500017,2017.0,10.1007/s11192-017-2325-y
WOS:000394339500021,2017.0,10.1007/s11192-016-2238-1
WOS:000394148300021,2017.0,10.1007/s11192-016-2212-y
WOS:000393748300020,2017.0,10.1007/s11192-016-2172-2
WOS:000393748300019,2017.0,10.1007/s11192-016-2177-x
WOS:000386373000014,2016.0,10.1007/s11192-016-2072-5
WOS:000376273700031,2016.0,10.1007/s11192-016-1908-3
WOS:000359143200002,2015.0,10.1007/s11192-015-1625-3
WOS:000354489600019,2015.0,10.1007/s11192-015-1589-3
WOS:000345136000024,2014.0,10.1007/s11192-014-1395-3
WOS:000331559800041,2014.0,10.1007/s11192-013-1144-z
