UT,PY,DOI
WOS:000180326100008,2003.0,10.1023/A:1021958909713
WOS:000184989800008,2003.0,10.1023/A:1025487826207
WOS:000175172000006,2002.0,10.1023/A:1014873029258
WOS:000170653400012,2001.0,10.1023/A:1019607522125
WOS:000086511800004,2000.0,10.1023/A:1005619917073
WOS:000075877700006,1998.0,10.1007/BF02458395
WOS:A1990DQ17100002,1990.0,10.1007/BF02130462
WOS:000741622100005,2022.0,10.1007/s11192-021-04196-3
WOS:000715664900002,2021.0,10.1007/s11192-021-04188-3
WOS:000701634100002,2021.0,10.1007/s11192-021-04130-7
WOS:000681145000001,2021.0,10.1007/s11192-021-04109-4
WOS:000658602800001,2021.0,10.1007/s11192-021-04065-z
WOS:000644380300021,2021.0,10.1007/s11192-021-03968-1
WOS:000644380300029,2021.0,10.1007/s11192-021-03940-z
WOS:000633283300001,2021.0,10.1007/s11192-021-03948-5
WOS:000628128900007,2021.0,10.1007/s11192-021-03924-z
WOS:000625725800008,2021.0,10.1007/s11192-021-03926-x
WOS:000617697700001,2021.0,10.1007/s11192-020-03839-1
WOS:000605110500001,2021.0,10.1007/s11192-020-03794-x
WOS:000605110500003,2021.0,10.1007/s11192-020-03805-x
WOS:000604808200002,2021.0,10.1007/s11192-020-03775-0
WOS:000569300100011,2021.0,10.1007/s11192-020-03687-z
WOS:000559304800003,2021.0,10.1007/s11192-020-03662-8
WOS:000552196500008,2020.0,10.1007/s11192-020-03625-z
WOS:000547804200014,2020.0,10.1007/s11192-020-03605-3
WOS:000547804200006,2020.0,10.1007/s11192-020-03562-x
WOS:000544354400011,2020.0,10.1007/s11192-020-03548-9
WOS:000544354400005,2020.0,10.1007/s11192-020-03553-y
WOS:000539970600008,2020.0,10.1007/s11192-020-03549-8
WOS:000530786700007,2020.0,10.1007/s11192-020-03445-1
WOS:000529892100014,2020.0,10.1007/s11192-020-03408-6
WOS:000528998800003,2020.0,10.1007/s11192-020-03477-7
WOS:000527509900003,2020.0,10.1007/s11192-020-03475-9
WOS:000521842600006,2020.0,10.1007/s11192-020-03379-8
WOS:000522019000008,2020.0,10.1007/s11192-020-03419-3
WOS:000491201000011,2019.0,10.1007/s11192-019-03220-x
WOS:000491413900002,2019.0,10.1007/s11192-019-03270-1
WOS:000485943600008,2019.0,10.1007/s11192-019-03203-y
WOS:000477044700011,2019.0,10.1007/s11192-019-03132-w
WOS:000469058000013,2019.0,10.1007/s11192-019-03106-y
WOS:000464901100014,2019.0,10.1007/s11192-019-03060-9
WOS:000463637600012,2019.0,10.1007/s11192-019-03020-3
WOS:000460804500013,2019.0,10.1007/s11192-018-2989-y
WOS:000458190700019,2019.0,10.1007/s11192-018-2980-7
WOS:000456290600002,2019.0,10.1007/s11192-018-2961-x
WOS:000451754600036,2018.0,10.1007/s11192-018-2951-z
WOS:000451754300012,2018.0,10.1007/s11192-018-2911-7
WOS:000451754300016,2018.0,10.1007/s11192-018-2913-5
WOS:000442737700037,2018.0,10.1007/s11192-018-2855-y
WOS:000442737700033,2018.0,10.1007/s11192-018-2874-8
WOS:000442737700030,2018.0,10.1007/s11192-018-2881-9
WOS:000442007200007,2018.0,10.1007/s11192-018-2805-8
WOS:000442007200003,2018.0,10.1007/s11192-018-2834-3
WOS:000442007200032,2018.0,10.1007/s11192-018-2806-7
WOS:000440597800001,2018.0,10.1007/s11192-018-2772-0
WOS:000440597800023,2018.0,10.1007/s11192-018-2796-5
WOS:000438126800004,2018.0,10.1007/s11192-018-2742-6
WOS:000437262800007,2018.0,10.1007/s11192-018-2727-5
WOS:000426807700029,2018.0,10.1007/s11192-017-2605-6
WOS:000425306300019,2018.0,10.1007/s11192-017-2604-7
WOS:000412920200011,2017.0,10.1007/s11192-017-2509-5
WOS:000412920200026,2017.0,10.1007/s11192-017-2492-x
WOS:000406497200007,2017.0,10.1007/s11192-017-2459-y
WOS:000406497200021,2017.0,10.1007/s11192-017-2449-0
WOS:000405275500006,2017.0,10.1007/s11192-017-2411-1
WOS:000403466900028,2017.0,10.1007/s11192-017-2397-8
WOS:000399871500025,2017.0,10.1007/s11192-017-2302-5
WOS:000394339500022,2017.0,10.1007/s11192-016-2220-y
WOS:000394148300023,2017.0,10.1007/s11192-016-2188-7
WOS:000393748300009,2017.0,10.1007/s11192-016-2165-1
WOS:000389336100015,2016.0,10.1007/s11192-016-2125-9
WOS:000386373000018,2016.0,10.1007/s11192-016-2071-6
WOS:000382915800018,2016.0,10.1007/s11192-016-1995-1
WOS:000382914200033,2016.0,10.1007/s11192-016-2026-y
WOS:000373187000017,2016.0,10.1007/s11192-016-1877-6
WOS:000374705700010,2016.0,10.1007/s11192-015-1826-9
WOS:000369017300014,2016.0,10.1007/s11192-015-1803-3
WOS:000365130100022,2015.0,10.1007/s11192-015-1635-1
WOS:000365130100044,2015.0,10.1007/s11192-015-1630-6
WOS:000355948600009,2015.0,10.1007/s11192-015-1600-z
WOS:000354489600015,2015.0,10.1007/s11192-015-1562-1
WOS:000351546100001,2015.0,10.1007/s11192-014-1515-0
WOS:000347297400042,2015.0,10.1007/s11192-014-1430-4
WOS:000347297400005,2015.0,10.1007/s11192-014-1446-9
WOS:000347297400022,2015.0,10.1007/s11192-014-1251-5
WOS:000347297400043,2015.0,10.1007/s11192-014-1393-5
WOS:000347297400026,2015.0,10.1007/s11192-014-1339-y
WOS:000345136000016,2014.0,10.1007/s11192-014-1280-0
WOS:000345136000011,2014.0,10.1007/s11192-013-1225-z
WOS:000345136000013,2014.0,10.1007/s11192-014-1295-6
WOS:000342228300024,2014.0,10.1007/s11192-014-1400-x
